;;;;
;;;;
;;;;
Name;D65_white;D65_blue;D65_vert;D65_jaune
Correction;UV;UV;UV;UV
Date;17/06/2025;17/06/2025;17/06/2025;17/06/2025
545;3,24623E-02;2,26929E-03;9,39369E-03;1,42761E-02
546;3,21440E-02;2,25691E-03;9,31539E-03;1,42482E-02
547;3,20429E-02;2,22976E-03;9,25081E-03;1,42469E-02
548;3,19348E-02;2,19707E-03;9,25906E-03;1,43094E-02
549;3,18222E-02;2,19081E-03;9,21680E-03;1,42709E-02
550;3,17058E-02;2,16403E-03;9,20741E-03;1,43565E-02
551;3,16506E-02;2,16169E-03;9,18615E-03;1,43526E-02
552;3,15468E-02;2,12361E-03;9,09949E-03;1,43231E-02
553;3,13420E-02;2,11096E-03;9,05486E-03;1,43231E-02
554;3,11661E-02;2,09869E-03;9,01687E-03;1,43699E-02
555;3,13412E-02;2,07680E-03;8,99309E-03;1,44120E-02
556;3,11018E-02;2,05971E-03;8,92685E-03;1,44350E-02
557;3,11467E-02;2,03831E-03;8,87947E-03;1,44978E-02
558;3,10758E-02;2,03593E-03;8,86833E-03;1,43975E-02
559;3,10430E-02;1,98957E-03;8,83248E-03;1,45050E-02
560;3,08648E-02;1,98126E-03;8,78709E-03;1,45404E-02
561;3,11040E-02;1,97979E-03;8,77347E-03;1,45969E-02
562;3,10588E-02;1,97670E-03;8,74664E-03;1,45993E-02
563;3,10371E-02;1,95308E-03;8,72163E-03;1,46033E-02
564;3,10097E-02;1,97807E-03;8,68813E-03;1,46762E-02
565;3,09729E-02;1,94099E-03;8,64939E-03;1,46757E-02
566;3,09525E-02;1,94518E-03;8,64225E-03;1,46973E-02
567;3,11104E-02;1,93272E-03;8,63289E-03;1,48067E-02
568;3,10226E-02;1,93987E-03;8,55968E-03;1,48818E-02
569;3,12592E-02;1,92643E-03;8,55521E-03;1,49404E-02
570;3,11967E-02;1,90635E-03;8,55656E-03;1,50292E-02
571;3,14579E-02;1,94646E-03;8,51435E-03;1,51810E-02
572;3,15606E-02;1,92500E-03;8,55055E-03;1,51455E-02
573;3,16460E-02;1,94499E-03;8,55102E-03;1,53144E-02
574;3,16457E-02;1,94245E-03;8,52402E-03;1,54341E-02
575;3,20017E-02;1,96384E-03;8,53770E-03;1,55593E-02
576;3,23221E-02;1,99960E-03;8,56706E-03;1,58022E-02
577;3,25982E-02;2,00286E-03;8,58161E-03;1,59355E-02
578;3,30400E-02;2,02125E-03;8,64956E-03;1,61518E-02
579;3,33130E-02;2,04611E-03;8,70053E-03;1,63882E-02
580;3,37738E-02;2,07426E-03;8,72785E-03;1,66281E-02
581;3,43177E-02;2,10482E-03;8,82658E-03;1,69182E-02
582;3,47487E-02;2,15128E-03;8,87392E-03;1,71778E-02
583;3,53650E-02;2,16324E-03;8,93371E-03;1,74509E-02
584;3,58357E-02;2,22115E-03;9,02734E-03;1,78801E-02
585;3,66488E-02;2,25851E-03;9,14154E-03;1,82804E-02
586;3,73711E-02;2,29056E-03;9,20584E-03;1,84843E-02
587;3,78115E-02;2,34135E-03;9,27717E-03;1,88991E-02
588;3,85289E-02;2,38398E-03;9,36946E-03;1,91664E-02
589;3,87426E-02;2,43121E-03;9,35486E-03;1,94154E-02
590;3,90125E-02;2,43581E-03;9,31322E-03;1,95700E-02
591;3,89731E-02;2,44704E-03;9,25074E-03;1,96621E-02
592;3,87822E-02;2,43227E-03;9,08497E-03;1,95558E-02
593;3,82023E-02;2,39124E-03;8,89024E-03;1,92099E-02
594;3,74393E-02;2,33902E-03;8,63600E-03;1,89459E-02
595;3,67810E-02;2,31555E-03;8,40480E-03;1,86487E-02
596;3,60917E-02;2,28454E-03;8,17295E-03;1,83064E-02
597;3,55954E-02;2,23205E-03;7,97293E-03;1,80384E-02
598;3,49772E-02;2,21955E-03;7,75757E-03;1,78244E-02
599;3,47289E-02;2,19360E-03;7,62446E-03;1,76707E-02
600;3,43451E-02;2,18047E-03;7,47381E-03;1,74769E-02
601;3,42269E-02;2,14139E-03;7,36135E-03;1,74321E-02
602;3,39664E-02;2,14380E-03;7,24478E-03;1,73538E-02
603;3,39414E-02;2,14409E-03;7,14867E-03;1,72772E-02
604;3,38049E-02;2,13216E-03;7,05898E-03;1,72336E-02
605;3,38539E-02;2,11711E-03;6,99352E-03;1,72969E-02
606;3,37813E-02;2,13420E-03;6,93368E-03;1,72343E-02
607;3,37666E-02;2,12282E-03;6,90850E-03;1,72628E-02
608;3,40171E-02;2,13955E-03;6,83944E-03;1,73301E-02
609;3,39373E-02;2,13857E-03;6,76532E-03;1,72938E-02
610;3,40462E-02;2,11781E-03;6,76024E-03;1,73355E-02
611;3,39704E-02;2,13226E-03;6,71392E-03;1,73437E-02
612;3,41559E-02;2,14711E-03;6,72179E-03;1,74138E-02
613;3,41574E-02;2,12445E-03;6,66584E-03;1,75062E-02
614;3,40844E-02;2,13146E-03;6,66005E-03;1,75814E-02
615;3,43260E-02;2,13618E-03;6,66077E-03;1,75432E-02
616;3,42952E-02;2,13972E-03;6,66589E-03;1,76036E-02
617;3,44846E-02;2,14016E-03;6,59303E-03;1,76809E-02
618;3,43518E-02;2,13379E-03;6,57809E-03;1,76738E-02
619;3,42679E-02;2,13956E-03;6,54133E-03;1,77341E-02
620;3,45220E-02;2,15702E-03;6,55383E-03;1,77523E-02
621;3,44187E-02;2,14313E-03;6,54741E-03;1,77978E-02
622;3,43814E-02;2,14592E-03;6,52352E-03;1,77686E-02
623;3,44906E-02;2,15988E-03;6,50774E-03;1,78780E-02
624;3,45580E-02;2,15638E-03;6,52066E-03;1,79677E-02
625;3,45406E-02;2,16455E-03;6,46950E-03;1,78726E-02
626;3,45757E-02;2,14944E-03;6,49091E-03;1,79791E-02
627;3,45074E-02;2,17354E-03;6,44706E-03;1,80437E-02
628;3,45429E-02;2,16273E-03;6,44795E-03;1,80065E-02
629;3,45285E-02;2,18866E-03;6,42908E-03;1,81032E-02
630;3,43944E-02;2,17139E-03;6,44659E-03;1,80423E-02
631;3,45815E-02;2,19377E-03;6,39378E-03;1,80569E-02
632;3,45175E-02;2,20610E-03;6,40812E-03;1,80291E-02
633;3,44713E-02;2,20203E-03;6,37531E-03;1,80546E-02
634;3,43347E-02;2,20644E-03;6,37038E-03;1,81046E-02
635;3,42604E-02;2,20168E-03;6,29899E-03;1,80092E-02
636;3,41321E-02;2,21409E-03;6,30346E-03;1,80041E-02
637;3,39468E-02;2,22335E-03;6,28400E-03;1,80493E-02
638;3,38126E-02;2,24328E-03;6,24584E-03;1,79743E-02
639;3,38155E-02;2,22184E-03;6,26130E-03;1,79346E-02
640;3,37702E-02;2,25530E-03;6,21285E-03;1,78923E-02
641;3,34826E-02;2,26271E-03;6,18850E-03;1,78848E-02
642;3,33847E-02;2,27612E-03;6,14234E-03;1,77012E-02
643;3,33099E-02;2,27001E-03;6,12805E-03;1,77949E-02
644;3,31648E-02;2,28058E-03;6,07341E-03;1,76448E-02
645;3,29993E-02;2,29325E-03;6,05797E-03;1,76765E-02
